edo_num,edo,tm,anio,s,ts,ssm
8,Chihuahua,2,2008,0.054,5.4,0
8,Chihuahua,3,2008,0.0352,3.52,0
8,Chihuahua,4,2008,0.0381,3.81,0
8,Chihuahua,1,2009,0.0388,3.88,0
8,Chihuahua,2,2009,0.0532,5.32,0
8,Chihuahua,3,2009,0.0438,4.38,0
8,Chihuahua,4,2009,0.0305,3.05,0
8,Chihuahua,1,2010,0.0282,2.82,0
8,Chihuahua,2,2010,0.0284,2.84,0
8,Chihuahua,3,2010,0.0242,2.42,0
8,Chihuahua,4,2010,0.024,2.4,0
8,Chihuahua,1,2011,0.0208,2.08,0
8,Chihuahua,2,2011,0.0508,5.08,0
8,Chihuahua,3,2011,0.0493,4.93,0
8,Chihuahua,4,2011,0.0478,4.78,0
8,Chihuahua,1,2012,0.0326,3.26,0
8,Chihuahua,2,2012,0.0523,5.23,0
8,Chihuahua,3,2012,0.0562,5.62,0
8,Chihuahua,4,2012,0.0774,7.74,0
8,Chihuahua,1,2013,0.0637,6.37,0
8,Chihuahua,2,2013,0.0758,7.58,0
8,Chihuahua,3,2013,0.0918,9.18,0
8,Chihuahua,4,2013,0.0725,7.25,0
8,Chihuahua,1,2014,0.0865,8.65,0
8,Chihuahua,2,2014,0.109,10.9,0
8,Chihuahua,3,2014,0.1176,11.76,0
8,Chihuahua,4,2014,0.0843,8.43,0
8,Chihuahua,1,2015,0.101,10.1,0
8,Chihuahua,2,2015,0.128,12.8,0
8,Chihuahua,3,2015,0.0939,9.39,0
8,Chihuahua,4,2015,0.1245,12.45,0
8,Chihuahua,1,2016,0.1536,15.36,0
8,Chihuahua,2,2016,0.1498,14.98,0
8,Chihuahua,3,2016,0.1231,12.31,0
8,Chihuahua,4,2016,0.0962,9.62,0
8,Chihuahua,1,2017,0.1096,10.96,0
8,Chihuahua,2,2017,0.1117,11.17,0
8,Chihuahua,3,2017,0.115,11.5,0
8,Chihuahua,4,2017,0.0726,7.26,0
8,Chihuahua,1,2018,0.083,8.3,0
8,Chihuahua,2,2018,0.1478,14.78,0
8,Chihuahua,3,2018,0.0726,7.26,0
8,Chihuahua,4,2018,0.0767,7.67,0
8,Chihuahua,1,2019,0.0957,9.57,0
8,Chihuahua,2,2019,0.0818,8.18,0
8,Chihuahua,3,2019,0.0707,7.07,0
8,Chihuahua,4,2019,0.0974,9.74,0
8,Chihuahua,1,2020,0.1145,11.45,0
8,Chihuahua,2,2020,0.1018,10.18,0
8,Chihuahua,3,2020,0.1187,11.87,0
8,Chihuahua,4,2020,0.1039,10.39,0
9,Ciudad de México,1,2004,0.0542,5.42,0
9,Ciudad de México,2,2004,0.0684,6.84,0
9,Ciudad de México,3,2004,0.071,7.1,0
9,Ciudad de México,4,2004,0.0818,8.18,0
9,Ciudad de México,1,2005,0.0646,6.46,0
9,Ciudad de México,2,2005,0.0693,6.93,0
9,Ciudad de México,3,2005,0.0714,7.14,0
9,Ciudad de México,4,2005,0.0914,9.14,0
9,Ciudad de México,1,2006,0.0607,6.07,0
9,Ciudad de México,2,2006,0.0639,6.39,0
9,Ciudad de México,3,2006,0.065,6.5,0
9,Ciudad de México,4,2006,0.0598,5.98,0
9,Ciudad de México,1,2007,0.0627,6.27,0
9,Ciudad de México,2,2007,0.0816,8.16,0
9,Ciudad de México,3,2007,0.0695,6.95,0
9,Ciudad de México,4,2007,0.0494,4.94,0
9,Ciudad de México,1,2008,0.0561,5.61,0
9,Ciudad de México,2,2008,0.0638,6.38,0
9,Ciudad de México,3,2008,0.0668,6.68,0
9,Ciudad de México,4,2008,0.0679,6.79,0
9,Ciudad de México,1,2009,0.1005,10.05,0
9,Ciudad de México,2,2009,0.0775,7.75,0
9,Ciudad de México,3,2009,0.0907,9.07,0
9,Ciudad de México,4,2009,0.0701,7.01,0
9,Ciudad de México,1,2010,0.0797,7.97,0
9,Ciudad de México,2,2010,0.0896,8.96,1
9,Ciudad de México,3,2010,0.1069,10.69,1
9,Ciudad de México,4,2010,0.0647,6.47,1
9,Ciudad de México,1,2011,0.0838,8.38,1
9,Ciudad de México,2,2011,0.1179,11.79,1
9,Ciudad de México,3,2011,0.1273,12.73,1
9,Ciudad de México,4,2011,0.1155,11.55,1
9,Ciudad de México,1,2012,0.0886,8.86,1
9,Ciudad de México,2,2012,0.0993,9.93,1
9,Ciudad de México,3,2012,0.1407,14.07,1
9,Ciudad de México,4,2012,0.1178,11.78,1
